home_score,away_score,home_team_id,away_team_id
5,2,Werder Bremen,Bayer Leverkusen
2,1,Schalke 04,Nurnberg
5,1,Energie Cottbus,Hannover 96
2,0,Arminia Bielefeld,VfB Stuttgart
0,0,Hertha BSC,Bayern Munich
0,1,MSV Duisburg,Eintracht Frankfurt
4,0,VfL Wolfsburg,Borussia Dortmund
1,2,Hansa Rostock,Bayern Munich
0,3,Hertha BSC,Eintracht Frankfurt
4,1,Schalke 04,VfB Stuttgart
2,0,Karlsruher SC,Nurnberg
2,3,Energie Cottbus,Bayer Leverkusen
1,2,Werder Bremen,Bochum
1,1,Hamburger SV,Hannover 96
0,1,Arminia Bielefeld,VfL Wolfsburg
3,3,MSV Duisburg,Borussia Dortmund
1,1,Bayer Leverkusen,Hamburger SV
2,3,Borussia Dortmund,Schalke 04
1,1,Bayern Munich,Werder Bremen
2,1,Eintracht Frankfurt,Arminia Bielefeld
2,2,Hannover 96,Karlsruher SC
3,3,Bochum,Energie Cottbus
1,1,Nurnberg,Hansa Rostock
2,1,VfL Wolfsburg,MSV Duisburg
1,3,VfB Stuttgart,Hertha BSC
3,0,Hamburger SV,Bochum
0,2,Energie Cottbus,Borussia Dortmund
1,2,Schalke 04,VfL Wolfsburg
1,0,Hertha BSC,Arminia Bielefeld
1,0,Hansa Rostock,Eintracht Frankfurt
0,3,Hannover 96,Bayern Munich
2,2,Karlsruher SC,Bayer Leverkusen
2,0,Werder Bremen,Nurnberg
2,3,MSV Duisburg,VfB Stuttgart
1,0,Borussia Dortmund,Hansa Rostock
3,1,VfB Stuttgart,Karlsruher SC
2,1,Bochum,Hannover 96
1,1,Bayern Munich,Hamburger SV
0,0,VfL Wolfsburg,Hertha BSC
0,2,Arminia Bielefeld,MSV Duisburg
1,0,Eintracht Frankfurt,Werder Bremen
1,1,Nurnberg,Energie Cottbus
1,0,Bayer Leverkusen,Schalke 04
1,1,Hansa Rostock,Arminia Bielefeld
0,1,Schalke 04,Bayern Munich
2,0,Bochum,Bayer Leverkusen
2,0,Hertha BSC,MSV Duisburg
2,0,Werder Bremen,Borussia Dortmund
3,1,Karlsruher SC,VfL Wolfsburg
2,1,Hannover 96,Nurnberg
4,1,Hamburger SV,Eintracht Frankfurt
0,1,Energie Cottbus,VfB Stuttgart
2,0,Bayer Leverkusen,Hannover 96
3,0,VfL Wolfsburg,Energie Cottbus
1,1,Eintracht Frankfurt,Bochum
2,0,Bayern Munich,Karlsruher SC
1,1,Borussia Dortmund,Hertha BSC
6,3,VfB Stuttgart,Werder Bremen
0,0,Nurnberg,Hamburger SV
1,1,MSV Duisburg,Hansa Rostock
0,2,Arminia Bielefeld,Schalke 04
0,0,Hansa Rostock,Hertha BSC
0,1,Karlsruher SC,Eintracht Frankfurt
2,1,Schalke 04,MSV Duisburg
0,1,Werder Bremen,VfL Wolfsburg
2,2,Hannover 96,Arminia Bielefeld
2,0,Energie Cottbus,Bayern Munich
4,1,Bayer Leverkusen,Nurnberg
1,1,Bochum,VfB Stuttgart
1,0,Hamburger SV,Borussia Dortmund
1,1,MSV Duisburg,Hannover 96
1,1,Arminia Bielefeld,Werder Bremen
1,1,Borussia Dortmund,Karlsruher SC
1,1,Nurnberg,Bochum
1,1,VfL Wolfsburg,Hamburger SV
4,1,VfB Stuttgart,Hansa Rostock
2,1,Bayern Munich,Bayer Leverkusen
2,1,Eintracht Frankfurt,Energie Cottbus
1,2,Hertha BSC,Schalke 04
3,3,Bochum,Borussia Dortmund
0,0,Karlsruher SC,Schalke 04
2,1,Energie Cottbus,Hertha BSC
1,2,Werder Bremen,MSV Duisburg
0,1,Hansa Rostock,VfL Wolfsburg
1,1,Hamburger SV,Arminia Bielefeld
0,2,Bayer Leverkusen,Eintracht Frankfurt
1,1,Nurnberg,Bayern Munich
0,0,Hannover 96,VfB Stuttgart
1,2,Hertha BSC,Werder Bremen
3,1,Bayern Munich,Bochum
3,2,VfL Wolfsburg,Hannover 96
0,1,MSV Duisburg,Energie Cottbus
1,3,Eintracht Frankfurt,Nurnberg
1,0,Arminia Bielefeld,Karlsruher SC
1,0,Schalke 04,Hansa Rostock
1,0,VfB Stuttgart,Hamburger SV
2,1,Borussia Dortmund,Bayer Leverkusen
1,2,Karlsruher SC,Hansa Rostock
5,0,Bayern Munich,Borussia Dortmund
3,0,Bayer Leverkusen,VfB Stuttgart
1,1,Bochum,Hertha BSC
1,0,Nurnberg,VfL Wolfsburg
0,1,Hamburger SV,MSV Duisburg
5,1,Werder Bremen,Schalke 04
1,0,Energie Cottbus,Arminia Bielefeld
2,1,Hannover 96,Eintracht Frankfurt
5,0,Schalke 04,Energie Cottbus
1,3,Eintracht Frankfurt,Bayern Munich
3,0,VfB Stuttgart,Nurnberg
0,1,MSV Duisburg,Karlsruher SC
1,3,Borussia Dortmund,Hannover 96
0,0,Hertha BSC,Hamburger SV
0,1,VfL Wolfsburg,Bochum
1,2,Hansa Rostock,Werder Bremen
1,0,Arminia Bielefeld,Bayer Leverkusen
2,2,Nurnberg,Arminia Bielefeld
2,2,Bayer Leverkusen,VfL Wolfsburg
0,1,Hamburger SV,Schalke 04
4,1,Bayern Munich,VfB Stuttgart
1,1,Bochum,MSV Duisburg
3,3,Karlsruher SC,Werder Bremen
2,2,Hannover 96,Hertha BSC
1,1,Eintracht Frankfurt,Borussia Dortmund
2,1,Energie Cottbus,Hansa Rostock
0,0,VfL Wolfsburg,Bayern Munich
2,0,Arminia Bielefeld,Bochum
3,2,MSV Duisburg,Bayer Leverkusen
2,0,Werder Bremen,Energie Cottbus
1,1,Schalke 04,Hannover 96
1,3,Hansa Rostock,Hamburger SV
3,1,Hertha BSC,Karlsruher SC
4,1,VfB Stuttgart,Eintracht Frankfurt
0,0,Borussia Dortmund,Nurnberg
2,3,Eintracht Frankfurt,VfL Wolfsburg
0,1,Hamburger SV,Werder Bremen
3,2,Borussia Dortmund,VfB Stuttgart
2,0,Nurnberg,MSV Duisburg
3,0,Hannover 96,Hansa Rostock
0,3,Bochum,Schalke 04
2,0,Bayern Munich,Arminia Bielefeld
1,2,Bayer Leverkusen,Hertha BSC
1,1,Karlsruher SC,Energie Cottbus
4,0,VfL Wolfsburg,VfB Stuttgart
6,1,Werder Bremen,Hannover 96
1,2,Hansa Rostock,Bayer Leverkusen
2,2,Arminia Bielefeld,Borussia Dortmund
2,0,Energie Cottbus,Hamburger SV
1,3,Karlsruher SC,Bochum
2,3,MSV Duisburg,Bayern Munich
1,0,Schalke 04,Eintracht Frankfurt
1,0,Hertha BSC,Nurnberg
0,2,Nurnberg,Schalke 04
4,2,Eintracht Frankfurt,MSV Duisburg
1,2,Bochum,Hansa Rostock
4,1,Bayern Munich,Hertha BSC
0,1,Bayer Leverkusen,Werder Bremen
2,2,VfB Stuttgart,Arminia Bielefeld
4,0,Hannover 96,Energie Cottbus
2,4,Borussia Dortmund,VfL Wolfsburg
7,0,Hamburger SV,Karlsruher SC
2,2,Arminia Bielefeld,Werder Bremen
0,3,Energie Cottbus,Hoffenheim
3,0,Schalke 04,Hannover 96
1,3,Borussia Monchengladbach,VfB Stuttgart
2,2,Bayern Munich,Hamburger SV
1,0,Karlsruher SC,Bochum
0,2,Eintracht Frankfurt,Hertha BSC
2,1,VfL Wolfsburg,FC Koln
2,3,Bayer Leverkusen,Borussia Dortmund
0,2,VfB Stuttgart,Bayer Leverkusen
2,2,Bochum,VfL Wolfsburg
1,1,FC Koln,Eintracht Frankfurt
0,0,Hannover 96,Energie Cottbus
1,1,Borussia Dortmund,Bayern Munich
1,1,Hertha BSC,Arminia Bielefeld
2,1,Hamburger SV,Karlsruher SC
1,0,Hoffenheim,Borussia Monchengladbach
1,1,Werder Bremen,Schalke 04
2,2,VfL Wolfsburg,Eintracht Frankfurt
2,0,VfB Stuttgart,Hannover 96
0,1,Energie Cottbus,Borussia Dortmund
2,4,Arminia Bielefeld,Hamburger SV
1,0,Schalke 04,Bochum
5,2,Bayer Leverkusen,Hoffenheim
4,1,Bayern Munich,Hertha BSC
0,2,Karlsruher SC,FC Koln
3,2,Borussia Monchengladbach,Werder Bremen
3,0,Werder Bremen,Energie Cottbus
5,1,Hannover 96,Borussia Monchengladbach
3,2,Hamburger SV,Bayer Leverkusen
2,0,Bochum,Arminia Bielefeld
2,1,Eintracht Frankfurt,Karlsruher SC
0,3,FC Koln,Bayern Munich
2,2,Hertha BSC,VfL Wolfsburg
0,0,Hoffenheim,VfB Stuttgart
3,3,Borussia Dortmund,Schalke 04
0,1,Borussia Monchengladbach,Hertha BSC
3,1,VfB Stuttgart,Karlsruher SC
4,0,Bayer Leverkusen,Hannover 96
1,1,Energie Cottbus,Bochum
3,0,VfL Wolfsburg,Hamburger SV
1,0,Schalke 04,Eintracht Frankfurt
4,1,Hoffenheim,Borussia Dortmund
2,5,Bayern Munich,Werder Bremen
2,0,Arminia Bielefeld,FC Koln
3,0,Borussia Dortmund,VfB Stuttgart
1,0,Hannover 96,Bayern Munich
0,1,Hertha BSC,Energie Cottbus
2,1,Karlsruher SC,VfL Wolfsburg
1,1,Eintracht Frankfurt,Arminia Bielefeld
1,0,Hamburger SV,Borussia Monchengladbach
2,3,Bochum,Bayer Leverkusen
5,4,Werder Bremen,Hoffenheim
1,0,FC Koln,Schalke 04
1,2,Arminia Bielefeld,Karlsruher SC
2,1,Hoffenheim,Eintracht Frankfurt
1,2,Borussia Monchengladbach,FC Koln
3,3,Bayern Munich,Bochum
0,1,Bayer Leverkusen,Hertha BSC
1,2,Energie Cottbus,Hamburger SV
2,2,Schalke 04,VfL Wolfsburg
4,1,VfB Stuttgart,Werder Bremen
1,1,Borussia Dortmund,Hannover 96
0,1,Karlsruher SC,Bayern Munich
1,1,Hamburger SV,Schalke 04
2,5,Hannover 96,Hoffenheim
3,3,Werder Bremen,Borussia Dortmund
2,2,Bochum,Borussia Monchengladbach
4,1,VfL Wolfsburg,Arminia Bielefeld
1,0,FC Koln,Energie Cottbus
0,2,Eintracht Frankfurt,Bayer Leverkusen
2,1,Hertha BSC,VfB Stuttgart
2,0,VfB Stuttgart,Bochum
2,0,Bayer Leverkusen,FC Koln
4,2,Bayern Munich,VfL Wolfsburg
1,1,Borussia Dortmund,Hertha BSC
3,0,Hoffenheim,Hamburger SV
0,0,Schalke 04,Arminia Bielefeld
1,1,Hannover 96,Werder Bremen
1,0,Borussia Monchengladbach,Karlsruher SC
2,3,Energie Cottbus,Eintracht Frankfurt
2,0,Hamburger SV,VfB Stuttgart
0,3,Karlsruher SC,Schalke 04
1,2,Eintracht Frankfurt,Bayern Munich
1,1,Arminia Bielefeld,Energie Cottbus
1,3,Bochum,Hoffenheim
3,0,VfL Wolfsburg,Borussia Monchengladbach
0,2,Werder Bremen,Bayer Leverkusen
0,1,FC Koln,Borussia Dortmund
3,0,Hertha BSC,Hannover 96
3,1,Bayern Munich,Arminia Bielefeld
5,1,Werder Bremen,Hertha BSC
2,0,Bayer Leverkusen,VfL Wolfsburg
4,1,Hoffenheim,Karlsruher SC
3,0,Hannover 96,Hamburger SV
1,1,Borussia Dortmund,Bochum
1,2,Borussia Monchengladbach,Eintracht Frankfurt
1,3,VfB Stuttgart,FC Koln
0,2,Energie Cottbus,Schalke 04
2,1,FC Koln,Hannover 96
2,1,Hamburger SV,Borussia Dortmund
2,2,Eintracht Frankfurt,VfB Stuttgart
0,0,Bochum,Werder Bremen
0,2,Arminia Bielefeld,Borussia Monchengladbach
3,0,VfL Wolfsburg,Energie Cottbus
1,0,Hertha BSC,Hoffenheim
3,3,Karlsruher SC,Bayer Leverkusen
1,2,Schalke 04,Bayern Munich
2,1,Hertha BSC,Hamburger SV
1,0,Energie Cottbus,Karlsruher SC
3,2,Hoffenheim,VfL Wolfsburg
3,1,Werder Bremen,FC Koln
2,2,Borussia Monchengladbach,Bayern Munich
2,1,Bayer Leverkusen,Schalke 04
4,0,Borussia Dortmund,Eintracht Frankfurt
0,0,VfB Stuttgart,Arminia Bielefeld
1,1,Hannover 96,Bochum
3,1,Schalke 04,Borussia Monchengladbach
2,1,Arminia Bielefeld,Bayer Leverkusen
4,1,Bayern Munich,Energie Cottbus
4,1,VfL Wolfsburg,VfB Stuttgart
0,1,Karlsruher SC,Borussia Dortmund
1,3,FC Koln,Hoffenheim
4,0,Eintracht Frankfurt,Hannover 96
2,3,Bochum,Hertha BSC
2,1,Hamburger SV,Werder Bremen
0,2,Bayer Leverkusen,Bayern Munich
0,0,Borussia Dortmund,VfL Wolfsburg
2,0,VfB Stuttgart,Schalke 04
3,2,Hannover 96,Karlsruher SC
1,1,Bochum,Hamburger SV
2,1,Hertha BSC,FC Koln
1,3,Borussia Monchengladbach,Energie Cottbus
5,0,Werder Bremen,Eintracht Frankfurt
3,0,Hoffenheim,Arminia Bielefeld
0,0,Arminia Bielefeld,Borussia Dortmund
1,0,Karlsruher SC,Werder Bremen
1,0,Schalke 04,Hertha BSC
0,3,Energie Cottbus,VfB Stuttgart
4,0,Eintracht Frankfurt,Bochum
2,1,VfL Wolfsburg,Hannover 96
1,2,FC Koln,Hamburger SV
2,1,Bayern Munich,Hoffenheim
1,3,Borussia Monchengladbach,Bayer Leverkusen
1,0,Hamburger SV,Eintracht Frankfurt
1,1,Bayer Leverkusen,Energie Cottbus
1,1,Hoffenheim,Schalke 04
2,2,VfB Stuttgart,Bayern Munich
4,0,Hertha BSC,Karlsruher SC
2,1,Borussia Dortmund,Borussia Monchengladbach
1,1,Hannover 96,Arminia Bielefeld
2,1,Werder Bremen,VfL Wolfsburg
1,2,Bochum,FC Koln
1,0,Hamburger SV,Bayern Munich
1,0,Hannover 96,Schalke 04
1,1,Borussia Dortmund,Bayer Leverkusen
2,0,VfB Stuttgart,Borussia Monchengladbach
1,1,FC Koln,VfL Wolfsburg
2,0,Bochum,Karlsruher SC
2,1,Hertha BSC,Eintracht Frankfurt
2,0,Hoffenheim,Energie Cottbus
1,2,Werder Bremen,Arminia Bielefeld
2,2,Eintracht Frankfurt,FC Koln
1,1,Borussia Monchengladbach,Hoffenheim
3,2,Karlsruher SC,Hamburger SV
2,4,Bayer Leverkusen,VfB Stuttgart
3,1,Energie Cottbus,Hannover 96
3,1,Bayern Munich,Borussia Dortmund
1,1,Arminia Bielefeld,Hertha BSC
1,0,Schalke 04,Werder Bremen
2,0,VfL Wolfsburg,Bochum
2,1,Bochum,Schalke 04
0,0,FC Koln,Karlsruher SC
2,0,Hamburger SV,Arminia Bielefeld
2,1,Hertha BSC,Bayern Munich
0,2,Eintracht Frankfurt,VfL Wolfsburg
3,3,Hannover 96,VfB Stuttgart
1,4,Hoffenheim,Bayer Leverkusen
1,1,Borussia Dortmund,Energie Cottbus
1,1,Werder Bremen,Borussia Monchengladbach
2,1,Energie Cottbus,Werder Bremen
1,2,Bayer Leverkusen,Hamburger SV
1,1,Arminia Bielefeld,Bochum
3,2,Borussia Monchengladbach,Hannover 96
3,3,VfB Stuttgart,Hoffenheim
1,2,Bayern Munich,FC Koln
1,1,Schalke 04,Borussia Dortmund
2,1,VfL Wolfsburg,Hertha BSC
0,1,Karlsruher SC,Eintracht Frankfurt
0,2,Karlsruher SC,VfB Stuttgart
3,2,Bochum,Energie Cottbus
1,0,Hannover 96,Bayer Leverkusen
0,0,Werder Bremen,Bayern Munich
0,0,Borussia Dortmund,Hoffenheim
2,1,Hertha BSC,Borussia Monchengladbach
1,2,Eintracht Frankfurt,Schalke 04
1,3,Hamburger SV,VfL Wolfsburg
1,1,FC Koln,Arminia Bielefeld
1,0,VfL Wolfsburg,Karlsruher SC
4,1,Borussia Monchengladbach,Hamburger SV
1,1,Bayer Leverkusen,Bochum
0,0,Hoffenheim,Werder Bremen
1,3,Energie Cottbus,Hertha BSC
2,1,VfB Stuttgart,Borussia Dortmund
0,0,Arminia Bielefeld,Eintracht Frankfurt
1,0,Schalke 04,FC Koln
5,1,Bayern Munich,Hannover 96
4,0,Werder Bremen,VfB Stuttgart
2,4,FC Koln,Borussia Monchengladbach
2,0,Hamburger SV,Energie Cottbus
0,3,Bochum,Bayern Munich
1,0,Hertha BSC,Bayer Leverkusen
4,3,VfL Wolfsburg,Schalke 04
4,4,Hannover 96,Borussia Dortmund
1,1,Eintracht Frankfurt,Hoffenheim
0,1,Karlsruher SC,Arminia Bielefeld
1,0,Borussia Dortmund,Werder Bremen
2,2,Hoffenheim,Hannover 96
0,1,Borussia Monchengladbach,Bochum
1,0,Bayern Munich,Karlsruher SC
2,0,VfB Stuttgart,Hertha BSC
1,1,Bayer Leverkusen,Eintracht Frankfurt
0,2,Energie Cottbus,FC Koln
0,3,Arminia Bielefeld,VfL Wolfsburg
1,2,Schalke 04,Hamburger SV
4,1,Werder Bremen,Hannover 96
5,1,VfL Wolfsburg,Bayern Munich
0,0,Karlsruher SC,Borussia Monchengladbach
1,3,Hertha BSC,Borussia Dortmund
1,2,Bochum,VfB Stuttgart
2,1,Eintracht Frankfurt,Energie Cottbus
1,0,Hamburger SV,Hoffenheim
0,2,FC Koln,Bayer Leverkusen
0,2,Arminia Bielefeld,Schalke 04
4,0,Bayern Munich,Eintracht Frankfurt
2,0,Schalke 04,Karlsruher SC
1,0,VfB Stuttgart,Hamburger SV
3,1,Borussia Dortmund,FC Koln
1,2,Borussia Monchengladbach,VfL Wolfsburg
2,0,Hannover 96,Hertha BSC
2,1,Energie Cottbus,Arminia Bielefeld
0,3,Hoffenheim,Bochum
1,1,Bayer Leverkusen,Werder Bremen
0,3,FC Koln,VfB Stuttgart
2,1,Hertha BSC,Werder Bremen
2,1,VfL Wolfsburg,Bayer Leverkusen
0,2,Bochum,Borussia Dortmund
4,1,Eintracht Frankfurt,Borussia Monchengladbach
2,1,Hamburger SV,Hannover 96
4,0,Schalke 04,Energie Cottbus
2,2,Karlsruher SC,Hoffenheim
0,1,Arminia Bielefeld,Bayern Munich
2,0,VfB Stuttgart,Eintracht Frankfurt
2,1,Hannover 96,FC Koln
2,0,Borussia Dortmund,Hamburger SV
3,2,Werder Bremen,Bochum
2,0,Energie Cottbus,VfL Wolfsburg
0,1,Bayern Munich,Schalke 04
0,1,Bayer Leverkusen,Karlsruher SC
0,1,Hoffenheim,Hertha BSC
1,1,Borussia Monchengladbach,Arminia Bielefeld
2,1,Bayern Munich,Borussia Monchengladbach
1,1,Hamburger SV,Hertha BSC
2,2,Arminia Bielefeld,VfB Stuttgart
0,2,Bochum,Hannover 96
0,0,Karlsruher SC,Energie Cottbus
0,2,Eintracht Frankfurt,Borussia Dortmund
4,0,VfL Wolfsburg,Hoffenheim
1,0,FC Koln,Werder Bremen
1,2,Schalke 04,Bayer Leverkusen
1,0,Borussia Monchengladbach,Schalke 04
2,0,Hertha BSC,Bochum
1,1,Hannover 96,Eintracht Frankfurt
1,3,Energie Cottbus,Bayern Munich
4,0,Borussia Dortmund,Karlsruher SC
2,2,Bayer Leverkusen,Arminia Bielefeld
2,0,Hoffenheim,FC Koln
2,0,Werder Bremen,Hamburger SV
4,1,VfB Stuttgart,VfL Wolfsburg
0,5,Eintracht Frankfurt,Werder Bremen
3,1,Hamburger SV,Bochum
1,2,FC Koln,Hertha BSC
2,3,Karlsruher SC,Hannover 96
3,0,VfL Wolfsburg,Borussia Dortmund
3,0,Bayern Munich,Bayer Leverkusen
1,2,Schalke 04,VfB Stuttgart
0,2,Arminia Bielefeld,Hoffenheim
0,1,Energie Cottbus,Borussia Monchengladbach
5,0,Bayer Leverkusen,Borussia Monchengladbach
6,0,Borussia Dortmund,Arminia Bielefeld
2,0,VfB Stuttgart,Energie Cottbus
0,0,Hertha BSC,Schalke 04
2,2,Hoffenheim,Bayern Munich
0,1,Hamburger SV,FC Koln
2,0,Bochum,Eintracht Frankfurt
1,3,Werder Bremen,Karlsruher SC
0,5,Hannover 96,VfL Wolfsburg
1,1,FC Koln,Bochum
5,1,VfL Wolfsburg,Werder Bremen
2,3,Eintracht Frankfurt,Hamburger SV
2,1,Bayern Munich,VfB Stuttgart
2,2,Arminia Bielefeld,Hannover 96
3,0,Energie Cottbus,Bayer Leverkusen
2,3,Schalke 04,Hoffenheim
4,0,Karlsruher SC,Hertha BSC
1,1,Borussia Monchengladbach,Borussia Dortmund
2,0,VfL Wolfsburg,VfB Stuttgart
3,3,Bochum,Borussia Monchengladbach
1,2,Nurnberg,Schalke 04
1,1,SC Freiburg,Hamburger SV
1,0,Hertha BSC,Hannover 96
2,3,Werder Bremen,Eintracht Frankfurt
1,0,Borussia Dortmund,FC Koln
2,2,Mainz 05,Bayer Leverkusen
1,1,Hoffenheim,Bayern Munich
1,3,FC Koln,VfL Wolfsburg
2,1,Borussia Monchengladbach,Hertha BSC
3,0,Schalke 04,Bochum
1,1,Eintracht Frankfurt,Nurnberg
4,2,VfB Stuttgart,SC Freiburg
1,1,Bayern Munich,Werder Bremen
1,0,Bayer Leverkusen,Hoffenheim
4,1,Hamburger SV,Borussia Dortmund
1,1,Hannover 96,Mainz 05
3,0,Werder Bremen,Borussia Monchengladbach
1,0,Bochum,Hertha BSC
0,5,SC Freiburg,Bayer Leverkusen
0,2,Nurnberg,Hannover 96
2,4,VfL Wolfsburg,Hamburger SV
0,0,FC Koln,Eintracht Frankfurt
2,1,Mainz 05,Bayern Munich
1,1,Borussia Dortmund,VfB Stuttgart
0,0,Hoffenheim,Schalke 04
2,3,Hertha BSC,Werder Bremen
0,1,Schalke 04,SC Freiburg
2,0,Borussia Monchengladbach,Mainz 05
2,1,Bayer Leverkusen,Bochum
